target	source	prob	count
a	the	0.6718	5227
abaddón	abaddon	1.0	1
abba	into	0.4783	11
abbahagyták	beating	0.5	1
abban	in	0.4938	40
abbá	abba	1.0	3
abból	of	0.45	9
abihud	abiud	1.0	1
abihudot	abiud	1.0	1
abija	division	0.5	1
abijja	abijah	1.0	1
abijját	abijah	1.0	1
abiléné	lysanias	1.0	1
abjátár	abiathar	1.0	1
ablakban	eutychus	0.5	1
ablakon	window	1.0	1
ad	give	0.2895	11
adakoztak	accord	1.0	1
adakozzanak	jerusalem	0.5	1
adakozásról	sharing	1.0	1
adakozással	fellowship	1.0	1
adakozó	generosity	0.5	1
adakozók	contributing	1.0	1
adakozót	giver	1.0	1
adassék	be	0.5	4
adatik	given	0.8182	18
adatnia	delivered	1.0	1
adatott	given	0.7812	25
adattak	spoken	1.0	1
adatunk	death	0.5	1
add	give	0.625	10
addig	until	1.0	2
addié	addi	1.0	1
adhat	give	0.6667	2
adhatja	can	1.0	1
adhatnánk	thanksgiving	1.0	1
adj	give	0.7778	7
adja	give	0.4483	13
adjak	cut	0.25	1
adjanak	give	0.375	3
adjatok	give	0.8182	9
adjon	give	0.6154	8
adjuk	moreover	1.0	1
adjunk	give	1.0	2
adják	be	0.2222	2
adjátok	give	0.7059	12
adminé	aram	1.0	1
adnak	give	0.4286	6
adni	give	0.7333	11
adnia	give	1.0	1
adnom	before	1.0	1
adod	down	0.25	1
adok	i	0.475	19
adom	give	0.4231	11
adomány	generosity	0.3333	1
adományotokat	gift	0.6667	2
adott	gave	0.4133	31
adramittiumból	adramyttium	1.0	1
adrián	adriatic	1.0	1
adta	gave	0.7358	39
adtad	given	1.0	1
adtak	given	0.2308	3
adtam	given	0.4444	4
adtatok	gave	0.3333	2
adtok	from	0.5	1
adtuk	an	0.5	1
adtunk	gave	0.6667	2
adták	to	0.4	4
adtál	given	0.4286	12
adtátok	them	1.0	1
adunk	give	0.6667	4
adva	he	0.3333	5
adván	giving	1.0	2
adásban	giving	1.0	1
adó	gives	1.0	1
adódna	last	1.0	1
adópénzt	money	0.5	1
adós	owed	0.75	3
adósa	debtors	0.5	1
adósleveledet	bill	1.0	2
adósod	owes	1.0	1
adósok	debtors	1.0	1
adósságodat	forgave	1.0	1
adósságát	debt	1.0	1
adósunk	bring	1.0	1
adósát	debtors	1.0	1
adót	taxes	0.7778	7
adóval	owe	1.0	1
afelett	judged	1.0	1
afféle	such	1.0	1
agabosz	agabus	1.0	2
aggodalmaskodik	anxious	1.0	1
aggodalmaskodjatok	anxious	1.0	7
aggodalmaskodtok	anxious	1.0	2
aggodalmaskodásával	add	0.3333	2
aggódjatok	anxious	1.0	1
aggódom	jealousy	1.0	1
aggódva	trembling	1.0	1
agrippa	agrippa	1.0	12
agyagon	clay	1.0	1
ah	ha	1.0	1
ahelyett	instead	1.0	1
ahhoz	to	0.4762	10
ahogy	as	0.7714	27
ahogyan	as	0.66	33
ahol	where	0.9167	77
ahonnan	which	0.6667	2
ahonnét	where	1.0	1
ahova	where	0.6	3
ahová	where	0.6923	9
ahányszor	often	1.0	1
ainonban	salim	1.0	1
ajkaink	allegiance	1.0	1
ajkait	lips	1.0	1
ajkaival	honors	1.0	1
ajkuk	lips	1.0	1
ajkáról	proceeded	1.0	1
ajkával	honor	0.3333	1
ajtaja	door	1.0	1
ajtaján	gate	0.5	1
ajtaját	door	0.5	1
ajtó	door	0.6154	8
ajtódat	having	1.0	1
ajtók	doors	1.0	1
ajtókat	doors	1.0	1
ajtón	door	1.0	3
ajtónál	door	1.0	1
ajtónállónak	work	1.0	1
ajtót	door	0.625	5
ajtóőrző	maid	1.0	1
ajtóőrzőnek	door	0.5	1
ajándék	gift	0.6667	6
ajándéka	gift	0.75	6
ajándékai	gifts	1.0	1
ajándékaikat	gifts	1.0	1
ajándékaink	differing	1.0	1
ajándékaival	gifts	1.0	1
ajándékba	granted	0.5	1
ajándékban	revelation	1.0	1
ajándéknak	measure	1.0	1
ajándékodat	gift	1.0	3
ajándékok	both	0.5	1
ajándékokat	gifts	1.0	9
ajándékokban	various	1.0	1
ajándékokkal	gifts	1.0	1
ajándékokra	moreover	0.5	1
ajándékot	gift	0.6364	7
ajándékozna	give	1.0	1
ajándékozott	to	0.75	3
ajándékozta	granted	1.0	1
ajándékra	gift	1.0	1
ajándékul	offering	0.5	1
ajándékából	gift	1.0	1
ajándékának	reign	1.0	1
ajándékáról	gifts	1.0	1
ajándékát	gift	0.8	4
ajándékáért	gift	1.0	1
ajándékért	means	1.0	1
ajánl	commends	1.0	1
ajánlak	entrust	1.0	1
ajánlanotok	commended	1.0	1
ajánlgatni	beginning	0.5	1
ajánlja	who	1.0	1
ajánljuk	commending	1.0	2
ajánlják	commend	0.5	1
ajánlom	commend	1.0	1
ajánlották	commended	1.0	1
ajánlólevelekre	letters	1.0	1
akadt	none	1.0	1
akadály	boldness	0.5	1
akadálya	keeping	1.0	1
akadályozta	kept	1.0	1
akadályoztattam	hindered	1.0	1
akadályt	cause	0.5	1
akar	desires	0.3429	12
akarat	by	1.0	1
akarata	will	0.8889	16
akaratból	consent	1.0	1
akaratod	desire	0.5	2
akaratodat	will	0.6667	2
akaratom	desire	0.5	1
akaratomat	will	1.0	1
akaratos	angered	0.5	1
akarattal	accord	0.8889	8
akaratuknak	their	1.0	1
akaratában	will	1.0	1
akaratából	will	1.0	10
akaratának	will	0.7143	5
akaratát	will	0.7619	16
akarhat	babbler	0.5	1
akarja	desires	0.4737	9
akarjuk	want	0.8	4
akarják	to	0.4	4
akarjátok	want	0.3	3
akarlak	to	1.0	2
akarnak	to	0.4444	8
akarnám	desire	1.0	1
akarnának	from	0.5	2
akarnék	would	1.0	1
akarod	want	0.5333	8
akarok	desire	0.4444	8
akarom	desire	0.6087	14
akarsz	want	0.7	7
akart	wanted	0.1875	3
akarta	to	0.4667	14
akartad	would	1.0	1
akartak	to	0.3	3
akartam	i	0.75	9
akartatok	did	0.75	3
akartok	you	0.4615	12
akartuk	assos	1.0	1
akartunk	wanted	1.0	1
akarták	sought	0.3333	6
akartál	desire	0.6667	2
akartátok	refused	1.0	1
akarunk	want	0.5	1
akarva	wishing	0.4	2
akarás	desire	0.5	1
akarást	will	1.0	1
akeldamának	akeldama	1.0	1
akhaiosz	achaicus	1.0	1
akhája	achaia	1.0	6
akhájába	achaia	0.75	3
akhájában	achaia	1.0	2
aki	who	0.7686	754
akiben	whom	0.4242	14
akiből	whom	1.0	5
akihez	she	0.5	1
akik	who	0.7165	460
akikben	out	0.3333	1
akiket	whom	0.451	23
akikhez	whom	0.6667	2
akikkel	met	0.3333	1
akiknek	who	0.2766	13
akiknél	hold	0.3333	2
akikre	whom	1.0	3
akiktől	whom	1.0	2
akiké	whom	0.5	1
akikéit	forgiven	1.0	1
akin	whom	0.4	2
akinek	who	0.3621	42
akinél	who	0.4615	6
akire	whomever	0.8	4
akiről	whom	0.8333	15
akit	whom	0.5248	74
akitől	whom	0.75	3
akivel	whom	1.0	2
akié	who	0.5	3
akiért	whom	0.6	3
akkor	then	0.7758	128
akkora	so	0.5	1
akkori	means	1.0	1
akként	even	1.0	1
akképpen	so	1.0	4
aklába	fold	1.0	1
akol	flock	1.0	1
akolból	fold	1.0	1
akvila	aquila	0.5714	4
akvilát	aquila	1.0	2
akár	or	0.5769	30
akárcsak	as	1.0	2
akárhová	wherever	1.0	1
akármilyen	all	0.5	1
akármit	whatever	1.0	3
