target	source	prob	count
000	song	1.0	1
144	song	1.0	1
144000	foreheads	1.0	1
2200	square	1.0	1
296	bridles	1.0	1
65	cubits	1.0	1
abartısız	heavily	1.0	1
abayı	carpus	1.0	1
abba	abba	1.0	3
acaba	avenge	0.1667	1
acele	hurry	0.5	2
aceleyle	haste	0.5	1
acemi	unskilled	1.0	2
acil	urgent	1.0	1
aciliyet	urgency	1.0	1
acı	suffer	0.3393	19
acıdan	gnawed	1.0	1
acıdı	compassion	1.0	7
acıdınız	plundering	1.0	1
acıdığıma	compassion	1.0	1
acıdığını	allow	1.0	1
acıkmayacaklar	heat	1.0	1
acıkmaz	thirsty	1.0	1
acıkmıştı	hungry	1.0	2
acıkmıştım	thirsty	1.0	2
acıktı	completed	0.5	1
acıktığı	hungry	0.5	1
acıkınca	answering	1.0	1
acıkıp	hunger	1.0	1
acılara	sufferings	1.0	4
acılarda	hardships	1.0	1
acılarla	author	0.3333	1
acıları	sufferings	0.8333	5
acılarımızın	distress	1.0	1
acıların	elder	1.0	1
acılarına	agony	0.5	1
acılarından	sores	1.0	1
acılarını	fill	1.0	1
acılaşan	wormwood	1.0	1
acılık	bitterness	0.6667	2
acıma	consolation	1.0	1
acımasızca	disregards	1.0	1
acınacak	pitiable	1.0	1
acısı	lower	1.0	1
acıya	commendable	0.6667	2
acıyacağım	compassion	1.0	1
acıyan	showed	1.0	1
acıyla	tormented	1.0	1
acıyorum	compassion	0.5	1
acıyı	anguish	1.0	1
ad	else	0.3333	1
ada	scroll	1.0	1
adada	island	0.5	1
adadaki	cured	1.0	1
adadaydım	isle	1.0	1
adadığı	boldness	1.0	1
adak	offering	0.3333	1
adakta	cenchreae	1.0	1
adalar	island	1.0	1
adalet	equal	0.5	1
adaleti	justice	0.8	4
adaletini	demonstrate	0.3333	1
adaletle	threaten	1.0	1
adaletsiz	unrighteous	1.0	2
adam	man	0.6047	153
adama	man	0.4865	18
adamamış	vow	1.0	1
adamda	accuse	0.5	1
adamdaki	listened	1.0	1
adamdan	envoy	0.1667	1
adamdı	added	0.25	1
adamdır	murmuring	1.0	1
adamla	dream	0.25	1
adamlar	men	0.7	14
adamlara	including	0.5	1
adamlardan	accompanied	0.3333	1
adamları	induced	0.1429	1
adamların	captains	0.3333	1
