surface	lemma	pos	features	source
abadi	abad	Noun		clitic
abaikan	abai	Verb		unimorph
abba	abba	Proper noun		alignment
abia	abia	Proper noun		alignment
abraham	abraham	Proper noun		base
abu	abu	Noun		base
acara	acara	Noun		base
ad	ad	Proper noun		base
ada	ada	Verb		base
adakah	ada	Verb		clitic
adakan	ada	Verb		unimorph
adalah	ada	Verb		clitic
adam	adam	Proper noun		base
adanya	ada	Verb		clitic
adapun	ada	Verb		clitic
adas	adas	Noun		base
adat	adat	Noun		base
adi	adi	Proper noun		base
adik	adik	Noun		base
adikmu	adik	Noun	Number=Singular;Gender=Neuter	unimorph
adil	adil	Adjective		base
adili	adil	Adjective		clitic
adonan	adon	Noun	Number=Singular;Gender=Neuter	unimorph
adonannya	adon	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
agabus	agabus	Proper noun		alignment
agama	agama	Noun		base
agamanya	agama	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
agamawi	agamawi	Adjective		base
agar	agar	Subordinating connective		base
agen	agen	Noun		base
agresif	agresif	Adjective		base
agripa	agripa	Proper noun		alignment
agung	agung	Proper noun		base
agustus	agustus	Proper noun		base
ahli	ahli	Noun		base
aib	aib	Noun		base
aibku	aib	Noun		clitic
air	air	Noun		base
airlah	air	Noun		clitic
airnya	air	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
ajaib	ajaib	Adjective		base
ajaran	ajar	Noun	Number=Singular;Gender=Neuter	unimorph
ajaranmu	ajaran	Noun		clitic
ajarkan	ajar	Noun		unimorph
ajarlah	ajar	Noun		clitic
ajukan	aju	Noun		unimorph
akal	akal	Noun		base
akan	akan	Auxiliary verb		base
akar	akar	Noun		base
akarlah	akar	Noun		clitic
akarnya	akar	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
akaya	akaya	Proper noun		alignment
akhir	akhir	Noun		base
akhirnya	akhir	Noun		clitic
akibat	akibat	Noun		base
akibatnya	akibat	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
akik	akik	Noun		base
akses	akses	Noun		base
aku	aku	Pronoun		base
akui	aku	Pronoun		clitic
akulah	aku	Pronoun		clitic
akun	akun	Noun		base
akurat	akurat	Adjective		base
akwila	akwila	Proper noun		alignment
alam	alam	Noun		base
alamatkan	alamat	Noun		clitic
alami	alam	Noun		clitic
alangkah	alang	Noun		clitic
alas	alas	Proper noun		base
alasan	alas	Proper noun		clitic
alasannya	alasan	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
alat	alat	Noun		base
aleksander	aleksander	Proper noun		base
alexander	alexander	Proper noun		base
alfa	alfa	Proper noun		base
alfeus	alfeus	Proper noun		alignment
alian	ali	Proper noun		clitic
aliran	alir	Noun	Number=Singular;Gender=Neuter	unimorph
allah	allah	Proper noun		base
allahku	allah	Proper noun		clitic
allahlah	allah	Proper noun		clitic
allahmu	allah	Proper noun		clitic
aman	aman	Adjective		base
