surface	lemma	pos	features	source
a	a	Adposition		base
aarón	aarón	Proper noun		base
abajada	abajar	Verb	Tense=Past;Gender=Feminine;Number=Singular	unimorph
abajadas	abajar	Verb	Tense=Past;Gender=Feminine;Number=Plural	unimorph
abajado	abajar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
abajo	abajar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Singular	unimorph
abastecidas	abastecer	Verb	Tense=Past;Gender=Feminine;Number=Plural	unimorph
abatidos	abatir	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
abba	abba	Proper noun		alignment
abel	abel	Proper noun		base
abertura	abertura	Noun		base
abierta	abrir	Verb	Tense=Past;Gender=Feminine;Number=Singular	unimorph
abiertamente	abiertamente	Adverb		base
abiertas	abrir	Verb	Tense=Past;Gender=Feminine;Number=Plural	unimorph
abierto	abrir	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
abiertos	abrir	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
abismo	abismar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Singular	unimorph
abofeteados	abofetear	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
abofetee	abofetear	Verb	Mood=Subjunctive;Tense=Present;Person=First;Number=Singular	unimorph
abogado	abogar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
abolido	abolir	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
abominable	abominable	Adjective		base
abominables	abominable	Adjective	Number=Plural	wiktionary
abominaciones	abominación	Noun	Gender=Feminine;Number=Plural	unimorph
abominación	abominación	Noun		base
abominas	abominar	Verb	Person=Second;Number=Singular;Tense=Present;Mood=Indicative	wiktionary
aborrece	aborrecer	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
aborrecen	aborrecer	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Plural	unimorph
aborreceros	aborrecer	Verb	Case=Dative;Person=Second;Number=Plural	unimorph
aborrecerá	aborrecer	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
aborrecerán	aborrecer	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Plural	unimorph
aborrecerás	aborrecer	Verb	Mood=Indicative;Tense=Future;Person=Second;Number=Singular	unimorph
aborreces	aborrecer	Verb	Mood=Indicative;Tense=Present;Person=Second;Number=Singular	unimorph
aborrecibles	aborrecible	Adjective	Number=Plural	wiktionary
aborrecido	aborrecer	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
aborrecidos	aborrecer	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
aborreciendo	aborrecer	Verb	Tense=Present	unimorph
aborrecieren	aborrecer	Verb	Mood=Subjunctive;Tense=Future;Person=Third;Number=Plural	unimorph
aborrecieron	aborrecer	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
aborreció	aborrecer	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
aborrecí	aborrecer	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=First;Number=Singular	unimorph
aborrecían	aborrecer	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=Third;Number=Plural	unimorph
aborrezco	aborrecer	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Singular	unimorph
abortivo	abortivo	Adjective		base
abra	abrir	Verb	Mood=Subjunctive;Tense=Present;Person=First;Number=Singular	unimorph
abraham	abraham	Proper noun		base
abran	abrir	Verb	Mood=Subjunctive;Tense=Present;Person=Third;Number=Plural	unimorph
abras	abrir	Verb	Mood=Subjunctive;Tense=Present;Person=Second;Number=Singular	unimorph
abrasada	abrasado	Adjective	Number=Singular;Gender=Feminine	wiktionary
abrasados	abrasado	Adjective	Number=Plural;Gender=Masculine	wiktionary
abrazado	abrazar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
abrazareis	abrazar	Verb	Mood=Subjunctive;Tense=Future;Person=Second;Number=Plural	unimorph
abrazaron	abrazar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
abrazándole	abrazar	Verb	Tense=Present;Case=Dative;Person=Third;Number=Singular	unimorph
abrazándonos	abrazar	Verb	Tense=Present;Case=Dative;Person=First;Number=Plural	unimorph
abre	abrir	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
abreviada	abreviado	Adjective	Gender=Feminine;Number=Singular	unimorph
abreviado	abreviar	Verb	NonFinite=Participle;Tense=Past	wiktionary
abreviadora	abreviador	Adjective	Number=Singular;Gender=Feminine	wiktionary
abrevió	abreviar	Verb	Person=Third;Number=Singular;Tense=Preterite;Mood=Indicative	wiktionary
abriendo	abrir	Verb	Tense=Present	unimorph
abriere	abrir	Verb	Mood=Subjunctive;Tense=Future;Person=First;Number=Singular	unimorph
abrieron	abrir	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
abriese	abrir	Verb	Mood=Subjunctive;Tense=Past;Person=First;Number=Singular	unimorph
abrimos	abrir	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Plural	unimorph
abrir	abrir	Verb		base
abrirse	abrir	Verb	Case=Dative;Person=Third;Number=Singular	unimorph
abrirá	abrir	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
abriré	abrir	Verb	Mood=Indicative;Tense=Future;Person=First;Number=Singular	unimorph
abrió	abrir	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
abroga	abrogar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
abrogar	abrogar	Verb		base
abrojos	abrojo	Noun	Gender=Masculine;Number=Plural	unimorph
abría	abrir	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=First;Number=Singular	unimorph
absolutamente	absolutamente	Adverb		base
