surface	lemma	pos	features	source
aachwe	aachwe	Unknown		base
aamini	aamini	Unknown		base
aandikishwe	aandikishwe	Unknown		base
aangamie	aangamie	Unknown		base
aanguke	aanguke	Unknown		base
abaki	baki	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
abarikiwe	abarikiwe	Unknown		base
abebe	abebe	Unknown		base
abrahamu	abrahamu	Proper noun		base
acha	acha	Verb		base
acheni	acheni	Unknown		base
achukua	achukua	Unknown		base
achukue	achukue	Unknown		base
adabu	adabu	Noun		base
adamu	adamu	Proper noun		base
adha	adha	Noun		base
adhabu	adhabu	Noun		base
adhihirishe	adhihirishe	Unknown		base
adili	adili	Adjective		base
adui	adui	Noun		base
adumu	adumu	Unknown		base
aenda	enda	Verb	Mood=Indicative;Number=Singular	unimorph
aende	enda	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
aendelee	aendelee	Unknown		base
afadhali	afadhali	Adverb		base
afae	faa	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
afahamike	afahamike	Unknown		base
afahamu	afahamu	Unknown		base
afanya	afanya	Unknown		base
afanye	afanye	Unknown		base
afariji	afariji	Unknown		base
afe	fa	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
afia	afia	Unknown		base
afisa	afisa	Noun		base
afufuke	afufuke	Unknown		base
afundishe	afundishe	Unknown		base
afungue	afungue	Unknown		base
afunguliwe	afunguliwe	Unknown		base
afungwe	afungwe	Unknown		base
afunike	afunike	Unknown		base
afya	afya	Noun		base
agano	agano	Noun		base
ageuke	ageuke	Unknown		base
agiza	agiza	Verb		base
agizo	agizo	Noun		base
ahadi	ahadi	Noun		base
ahidiwa	ahidiwa	Verb		base
ahukumu	ahukumu	Unknown		base
aibu	aibu	Noun		base
aidha	aidha	Adverb		base
aimbe	imba	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
aina	aina	Noun		base
ainuliwe	ainuliwe	Unknown		base
aishi	aishi	Unknown		base
aishie	aishie	Unknown		base
aitwe	aitwe	Unknown		base
ajabu	ajabu	Noun		base
ajali	ajali	Noun		base
ajaribiwe	ajaribiwe	Unknown		base
ajaye	ajaye	Unknown		base
aje	ja	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
ajenga	ajenga	Unknown		base
ajili	ajili	Noun		base
ajisifu	ajisifu	Unknown		base
ajivune	ajivune	Unknown		base
ajue	ajue	Unknown		base
ajulikane	ajulikane	Unknown		base
akaandaa	andaa	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akaandika	andika	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akabaki	baki	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akabariki	bariki	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akadirie	akadirie	Unknown		base
akae	akae	Unknown		base
akaenda	enda	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akafa	fa	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akaja	ja	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akajibu	jibu	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akakana	kana	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akala	akala	Noun		base
akalala	lala	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akaleta	leta	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akalia	akalia	Unknown		base
akalie	akalie	Unknown		base
akaliwa	akaliwa	Unknown		base
akamatwe	akamatwe	Unknown		base
akaona	ona	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akaonekana	akaonekana	Verb		base
akaongea	ongea	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akapiga	piga	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akasafiri	safiri	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
akatwe	akatwe	Unknown		base
akawa	akawa	Verb		base
akiba	akiba	Noun		base
akida	akida	Noun		base
akienda	enda	Verb	Tense=Past;Person=Third;Number=Singular	unimorph
akifa	fa	Verb	Tense=Past;Person=Third;Number=Singular	unimorph
akija	ja	Verb	Tense=Past;Person=Third;Number=Singular	unimorph
akijibu	jibu	Verb	Tense=Past;Person=Third;Number=Singular	unimorph
akiki	akiki	Noun		base
akili	akili	Noun		base
akimu	akimu	Unknown		base
akina	akina	Noun		base
akiongea	ongea	Verb	Tense=Past;Person=Third;Number=Singular	unimorph
akiota	ota	Verb	Tense=Past;Person=Third;Number=Singular	unimorph
akipenda	penda	Verb	Tense=Past;Person=Third;Number=Singular	unimorph
akipiga	piga	Verb	Tense=Past;Person=Third;Number=Singular	unimorph
akisafiri	safiri	Verb	Tense=Past;Person=Third;Number=Singular	unimorph
akisema	akisema	Verb		base
akisoma	soma	Verb	Tense=Past;Person=Third;Number=Singular	unimorph
akiwa	akiwa	Verb		base
akiwemo	akiwemo	Verb		base
ala	ala	Noun		base
alaaniwe	alaaniwe	Unknown		base
alama	alama	Noun		base
ale	ale	Unknown		base
aletwe	aletwe	Unknown		base
alfajiri	alfajiri	Noun		base
aliandaa	andaa	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
aliandika	andika	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alianza	alianza	Verb		base
alibaki	baki	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alichukua	alichukua	Verb		base
alie	alie	Unknown		base
alifanya	alifanya	Verb		base
alijibu	jibu	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alikana	kana	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alikufa	fa	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alikuja	ja	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alikuwa	alikuwa	Verb		base
alikwenda	enda	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alilala	lala	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alileta	leta	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alilia	alilia	Unknown		base
alilipa	lipa	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alinunua	nunua	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
aliona	ona	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
aliongea	ongea	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alipenda	penda	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alipiga	piga	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alipwe	alipwe	Unknown		base
alisafiri	safiri	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alisema	alisema	Verb		base
aliumba	umba	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
alizaliwa	alizaliwa	Verb		base
almasi	almasi	Noun		base
ama	ama	Coordinating connective		base
amani	amani	Noun		base
ambacho	ambacho	Pronoun		base
ambae	ambae	Pronoun		base
ambako	ambako	Pronoun		base
ambalo	ambalo	Pronoun		base
ambamo	ambamo	Pronoun		base
ambao	ambao	Pronoun		base
ambapo	ambapo	Pronoun		base
ambavyo	ambavyo	Pronoun		base
ambaye	ambaye	Pronoun		base
ambayo	ambayo	Pronoun		base
ambazo	ambazo	Pronoun		base
ameandaa	andaa	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
amekufa	fa	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
amekuja	ja	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
amekupa	pa	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
amekwenda	enda	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
amelala	lala	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
ameleta	leta	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
amenunua	nunua	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
ameongea	ongea	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
amin	amin	Interjection		base
amina	amina	Interjection		base
amini	amini	Noun		base
aminika	aminika	Verb		base
aminini	aminini	Unknown		base
amka	amka	Verb		base
amkeni	amkeni	Unknown		base
amosi	amosi	Proper noun		base
amri	amri	Noun		base
amua	amua	Verb		base
amueni	amueni	Unknown		base
amuru	amuru	Verb		base
ana	ana	Verb		base
anaamini	anaamini	Unknown		base
anaamuru	anaamuru	Unknown		base
anaandika	andika	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
anabakia	anabakia	Unknown		base
anabatiza	anabatiza	Unknown		base
anachagua	anachagua	Unknown		base
anachelewa	anachelewa	Unknown		base
anachukua	anachukua	Unknown		base
anadai	anadai	Unknown		base
anadaiwa	anadaiwa	Unknown		base
anadhani	anadhani	Unknown		base
anaelewa	anaelewa	Unknown		base
anaenda	anaenda	Verb		base
anaendelea	anaendelea	Unknown		base
anafanana	anafanana	Unknown		base
anafanya	anafanya	Unknown		base
anafikiri	anafikiri	Unknown		base
anafundisha	anafundisha	Unknown		base
anafurahia	anafurahia	Unknown		base
anahesabiwa	anahesabiwa	Unknown		base
anahitaji	anahitaji	Verb		base
anahubiri	anahubiri	Unknown		base
anahuzunika	anahuzunika	Unknown		base
anaingia	anaingia	Unknown		base
anaishi	anaishi	Unknown		base
anaitwa	anaitwa	Unknown		base
anajali	anajali	Unknown		base
anajaribu	anajaribu	Unknown		base
anajenga	anajenga	Verb		base
anajipenda	anajipenda	Unknown		base
anajivuna	anajivuna	Unknown		base
anajua	anajua	Unknown		base
anajulikana	anajulikana	Unknown		base
anakaa	anakaa	Verb		base
anakaribia	anakaribia	Unknown		base
anakemea	anakemea	Unknown		base
anakubalika	anakubalika	Unknown		base
anakufuru	anakufuru	Unknown		base
anakuja	ja	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
anakula	anakula	Verb		base
anakuwa	anakuwa	Unknown		base
anakwenda	enda	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
analala	lala	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
analetwa	analetwa	Unknown		base
analia	analia	Verb		base
ananena	ananena	Unknown		base
anania	anania	Unknown		base
anaogopa	anaogopa	Unknown		base
anaokolewa	anaokolewa	Unknown		base
anaomba	anaomba	Verb		base
anaona	ona	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
anaongea	ongea	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
anaongelea	anaongelea	Unknown		base
anaongozwa	anaongozwa	Unknown		base
anapanda	anapanda	Verb		base
anapaswa	anapaswa	Unknown		base
anapigwa	anapigwa	Unknown		base
anapinga	anapinga	Unknown		base
anapita	anapita	Unknown		base
anaridhika	anaridhika	Unknown		base
anarudi	anarudi	Unknown		base
anaruka	anaruka	Unknown		base
anasa	anasa	Noun		base
anasababisha	anasababisha	Unknown		base
anasafiri	safiri	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
anasalitiwa	anasalitiwa	Unknown		base
anasamehe	anasamehe	Unknown		base
anasema	anasema	Verb		base
anashawishika	anashawishika	Unknown		base
anashika	anashika	Unknown		base
anashuhudia	anashuhudia	Unknown		base
anasimama	anasimama	Unknown		base
anastahili	anastahili	Unknown		base
anasumbuliwa	anasumbuliwa	Unknown		base
anataka	anataka	Verb		base
anatamani	anatamani	Unknown		base
anatambua	anatambua	Unknown		base
anatangaza	anatangaza	Unknown		base
anatangazwa	anatangazwa	Unknown		base
anatawala	anatawala	Unknown		base
anatembea	anatembea	Unknown		base
anatenda	anatenda	Unknown		base
anateremka	anateremka	Unknown		base
anateswa	anateswa	Unknown		base
anathibitishwa	anathibitishwa	Unknown		base
anathubutu	anathubutu	Unknown		base
anatoa	anatoa	Unknown		base
anatoka	anatoka	Unknown		base
anatokea	anatokea	Unknown		base
anatokwa	anatokwa	Unknown		base
anatumbukia	anatumbukia	Unknown		base
anatumia	anatumia	Unknown		base
anaumwa	anaumwa	Unknown		base
anavaa	anavaa	Unknown		base
anavunja	anavunja	Unknown		base
anawajibika	anawajibika	Unknown		base
anawaza	anawaza	Unknown		base
anawekeza	anawekeza	Unknown		base
anaweza	anaweza	Verb		base
anazaa	anazaa	Unknown		base
anazungumza	anazungumza	Unknown		base
andaa	andaa	Verb		base
andaliwa	andaliwa	Verb		base
andika	andika	Verb		base
andiko	andiko	Noun		base
andikwa	andikwa	Verb		base
anena	anena	Unknown		base
anga	anga	Noun		base
angalau	angalau	Adverb		base
angali	angali	Verb		base
angalia	angalia	Verb		base
angalieni	angalieni	Unknown		base
angani	angani	Noun		base
angaza	angaza	Verb		base
angekuja	ja	Verb	Mood=Indicative;Person=Third;Number=Singular	unimorph
anguko	anguko	Noun		base
anunue	nunua	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
anyamaze	anyamaze	Unknown		base
anywe	nywa	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
anza	anza	Verb		base
aoane	aoane	Unknown		base
aombe	aombe	Unknown		base
aondoke	aondoke	Unknown		base
aone	ona	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
aonekane	aonekane	Unknown		base
aoneshe	aoneshe	Unknown		base
aongee	ongea	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
apanda	apanda	Unknown		base
apande	apande	Unknown		base
apatane	apatane	Unknown		base
apate	apate	Unknown		base
apewe	apewe	Unknown		base
apigwe	apigwe	Unknown		base
apokee	apokee	Unknown		base
arabuni	arabuni	Noun		base
ardhi	ardhi	Noun		base
ardhini	ardhini	Noun		base
arobaini	arobaini	Numeral		base
arudi	arudi	Unknown		base
arusi	arusi	Noun		base
asafiri	safiri	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
asahau	asahau	Unknown		base
asali	asali	Noun		base
asalitiwa	asalitiwa	Unknown		base
asema	asema	Unknown		base
aseme	aseme	Unknown		base
ashawishike	ashawishike	Unknown		base
ashinde	ashinde	Unknown		base
ashuhudia	ashuhudia	Unknown		base
ashuhudie	ashuhudie	Unknown		base
ashuke	ashuke	Unknown		base
asia	asia	Proper noun		base
asikie	asikie	Unknown		base
asikilize	asikilize	Unknown		base
asili	asili	Noun		base
asimame	asimame	Unknown		base
askari	askari	Noun		base
astahili	astahili	Unknown		base
asubuhi	asubuhi	Noun		base
asulubiwe	asulubiwe	Unknown		base
ataandaa	andaa	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
atabaki	baki	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
atafuta	atafuta	Unknown		base
atafute	atafute	Unknown		base
atajibu	jibu	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
atakufa	fa	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
atakuja	ja	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
atakunywa	nywa	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
atakupa	pa	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
atakwenda	enda	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
ataleta	leta	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
atangaze	atangaze	Unknown		base
ataongea	ongea	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
atapenda	penda	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
atawale	atawale	Unknown		base
atembee	atembee	Unknown		base
atende	atende	Unknown		base
ateseke	ateseke	Unknown		base
athene	athene	Proper noun		base
atoe	atoe	Unknown		base
atoke	atoke	Unknown		base
atolewe	atolewe	Unknown		base
atume	atume	Unknown		base
atumike	atumike	Unknown		base
au	au	Coordinating connective		base
auawe	auawe	Unknown		base
aulizwe	aulizwe	Unknown		base
aumbe	umba	Verb	Mood=Indicative;Tense=Past;Person=Third;Number=Singular	unimorph
auze	auze	Unknown		base
auzwe	auzwe	Unknown		base
avimbe	avimbe	Unknown		base
avuna	avuna	Unknown		base
avune	avune	Unknown		base
awali	awali	Noun		base
awe	awe	Verb		base
aweke	aweke	Unknown		base
awekwe	awekwe	Unknown		base
awepo	awepo	Unknown		base
aweza	aweza	Unknown		base
aweze	aweze	Unknown		base
azaliwe	azaliwe	Unknown		base
