surface	lemma	pos	features	source
aabalahin	aabalahin	Unknown		base
aabutan	aabutan	Unknown		base
aakay	aakay	Unknown		base
aakyat	aakyat	Verb		base
aalalahanin	aalalahanin	Unknown		base
aalis	aalis	Unknown		base
aalisin	aalisin	Verb		base
aaron	aaron	Proper noun		base
aawit	aawit	Unknown		base
aawitin	aawitin	Unknown		base
aayusin	aayusin	Unknown		base
aba	aba	Adjective		base
abala	abala	Noun		base
abel	abel	Proper noun		base
abo	abo	Noun		base
abogado	abogado	Noun		base
abot	abot	Adjective		base
abraham	abraham	Proper noun		base
abusuhin	abusuhin	Verb		base
abutan	abutan	Verb		base
abutin	abutin	Verb		base
adan	adan	Proper noun		base
agad	agad	Adverb		base
agila	agila	Noun		base
agos	agos	Noun		base
ahas	ahas	Noun		base
ahitin	ahitin	Verb		base
akala	akala	Noun		base
akayin	akayin	Verb		base
akin	akin	Pronoun		base
aklat	aklat	Noun		base
ako	ako	Pronoun		base
ala	ala	Interjection		base
alaala	alaala	Noun		base
alabastro	alabastro	Noun		base
alabok	alabok	Noun		base
alagad	alagad	Noun		base
alahas	alahas	Noun		base
alak	alak	Noun		base
alakdan	alakdan	Noun		base
alalahanin	alalahanin	Verb		base
alam	alam	Verb		base
alamat	alamat	Noun		base
alamin	alamin	Verb		base
alapaap	alapaap	Noun		base
alas	alas	Noun		base
alat	alat	Adjective		base
alay	alay	Noun		base
alejandrino	alejandrino	Proper noun		base
alejandro	alejandro	Proper noun		base
aleluya	aleluya	Noun		base
alikabok	alikabok	Noun		base
alin	alin	Pronoun		base
aling	aling	Noun		base
alinman	alinman	Pronoun		base
alinsunod	alinsunod	Adjective		base
alipin	alipin	Noun		base
alisin	alisin	Verb		base
alitan	alitan	Noun		base
alituntunin	alituntunin	Noun		base
aliw	aliw	Noun		base
alon	alon	Noun		base
alpa	alpa	Noun		base
alsa	alsa	Noun		base
altar	altar	Noun		base
ama	ama	Noun		base
amang	amang	Noun		base
amatista	amatista	Noun		base
amen	amen	Interjection		base
amin	amin	Determiner		base
amo	amo	Noun		base
amon	amon	Proper noun		base
among	among	Noun		base
amos	amos	Proper noun		base
anak	anak	Noun		base
anas	anas	Noun		base
anay	anay	Noun		base
andres	andres	Proper noun		base
ang	ang	Adposition		base
angel	angel	Proper noun		base
anghel	anghel	Noun		base
angkan	angkan	Noun		base
angkla	angkla	Noun		base
angkop	angkop	Adjective		base
ani	ani	Noun		base
anim	anim	Numeral		base
animnapu	animnapu	Numeral		base
anino	anino	Noun		base
anis	anis	Noun		base
ano	ano	Pronoun		base
anong	anong	Unknown		base
antas	antas	Noun		base
antikristo	antikristo	Proper noun		base
antipas	antipas	Proper noun		base
antok	antok	Noun		base
anuman	anuman	Pronoun		base
anyayahan	anyayahan	Proper noun		base
anyo	anyo	Noun		base
anyong	anyong	Noun		base
apat	apat	Numeral		base
apdo	apdo	Noun		base
apo	apo	Noun		base
apostol	apostol	Noun		base
apoy	apoy	Noun		base
arabia	arabia	Proper noun		base
aral	aral	Noun		base
araro	araro	Noun		base
araw	araw	Noun		base
ari	ari	Noun		base
arka	arka	Noun		base
arkanghel	arkanghel	Noun		base
arko	arko	Noun		base
armado	armado	Adjective		base
asa	asa	Noun		base
asahan	asahan	Verb		base
asal	asal	Noun		base
asawa	asawa	Noun		base
asia	asia	Unknown		base
asin	asin	Noun		base
asno	asno	Noun		base
aso	aso	Noun		base
asul	asul	Adjective		base
asupre	asupre	Noun		base
asya	asya	Proper noun		base
at	at	Coordinating connective		base
atenas	atenas	Proper noun		base
atin	atin	Adjective		base
ating	ating	Noun		base
awa	awa	Noun		base
awit	awit	Noun		base
awitin	awitin	Noun		base
awtoridad	awtoridad	Noun		base
ay	ay	Particle		base
ayaw	ayaw	Verb		base
ayon	ayon	Adjective		base
ayun	ayun	Unknown		base
ayusin	ayusin	Verb		base
ba	ba	Particle		base
baba	baba	Noun		base
bababa	bababa	Verb		base
babae	babae	Noun		base
babagsak	babagsak	Verb		base
babala	babala	Noun		base
babalaan	babalaan	Unknown		base
babalewalain	babalewalain	Unknown		base
babaliin	babaliin	Unknown		base
babalik	babalik	Verb		base
babanggitin	babanggitin	Unknown		base
babatuhin	babatuhin	Unknown		base
babayaran	babayaran	Noun		base
babilonia	babilonia	Unknown		base
baboy	baboy	Noun		base
baga	baga	Noun		base
bagaman	bagaman	Coordinating connective		base
bagamat	bagamat	Coordinating connective		base
bagay	bagay	Noun		base
baging	baging	Noun		base
bagkus	bagkus	Adverb		base
bago	bago	Adjective		base
bagong	bagong	Adjective		base
bagyo	bagyo	Noun		base
baha	baha	Noun		base
bahaghari	bahaghari	Noun		base
bahagi	bahagi	Noun		base
bahagya	bahagya	Adjective		base
bahala	bahala	Noun		base
bahay	bahay	Noun		base
bahid	bahid	Noun		base
baka	baka	Noun		base
bakal	bakal	Noun		base
bakas	bakas	Noun		base
bakit	bakit	Adverb		base
bakuran	bakuran	Noun		base
balaan	balaan	Verb		base
balabal	balabal	Noun		base
balahibo	balahibo	Noun		base
balak	balak	Noun		base
balang	balang	Noun		base
balat	balat	Noun		base
balewala	balewala	Adjective		base
baliin	baliin	Verb		base
balikan	balikan	Adjective		base
balikat	balikat	Noun		base
balita	balita	Noun		base
balitang	balitang	Noun		base
balo	balo	Noun		base
balon	balon	Noun		base
baluktot	baluktot	Adjective		base
baluti	baluti	Noun		base
banal	banal	Adjective		base
banayad	banayad	Adjective		base
banda	banda	Noun		base
bandehado	bandehado	Noun		base
bandihado	bandihado	Unknown		base
bang	bang	Particle		base
banga	banga	Noun		base
bangin	bangin	Noun		base
bangka	bangka	Noun		base
bangkay	bangkay	Noun		base
bangko	bangko	Noun		base
banig	banig	Noun		base
bansa	bansa	Noun		base
banta	banta	Noun		base
bantay	bantay	Noun		base
bantayan	bantayan	Noun		base
bantayog	bantayog	Noun		base
banyaga	banyaga	Adjective		base
baog	baog	Adjective		base
bar	bar	Noun		base
barko	barko	Noun		base
bartolome	bartolome	Proper noun		base
barya	barya	Noun		base
baryo	baryo	Noun		base
basahin	basahin	Verb		base
basain	basain	Verb		base
basbas	basbas	Noun		base
basket	basket	Noun		base
baso	baso	Noun		base
basta	basta	Interjection		base
basura	basura	Noun		base
bata	bata	Noun		base
batang	batang	Noun		base
batas	batas	Noun		base
batay	batay	Adjective		base
batayan	batayan	Noun		base
batid	batid	Adjective		base
batingaw	batingaw	Noun		base
bato	bato	Noun		base
batuhin	batuhin	Unknown		base
bautismo	bautismo	Unknown		base
bawat	bawat	Determiner		base
bawian	bawian	Verb		base
bayad	bayad	Noun		base
bayan	bayan	Noun		base
bayaran	bayaran	Verb		base
baywang	baywang	Noun		base
berde	berde	Noun		base
berilo	berilo	Noun		base
bernabe	bernabe	Proper noun		base
beses	beses	Noun		base
bibig	bibig	Noun		base
bibiguin	bibiguin	Unknown		base
bibigyan	bibigyan	Unknown		base
bibilangin	bibilangin	Unknown		base
bibili	bibili	Verb		base
bigat	bigat	Noun		base
bigkis	bigkis	Noun		base
bigla	bigla	Adverb		base
biglaan	biglaan	Adjective		base
bigyan	bigyan	Verb		base
bihag	bihag	Noun		base
bihasa	bihasa	Noun		base
bihis	bihis	Noun		base
bilang	bilang	Adposition		base
bilanggo	bilanggo	Noun		base
bilangguan	bilangguan	Noun		base
bilangin	bilangin	Verb		base
bilanguan	bilanguan	Unknown		base
binaba	binaba	Unknown		base
binabalaan	binabalaan	Unknown		base
binabalewala	binabalewala	Unknown		base
binabanggit	binabanggit	Unknown		base
binabantayan	binabantayan	Unknown		base
binabasa	binabasa	Verb		base
binabasbasan	binabasbasan	Unknown		base
binabati	binabati	Unknown		base
binabato	binabato	Unknown		base
binago	binago	Adjective		base
binagsak	binagsak	Unknown		base
binakuran	binakuran	Unknown		base
binalaan	binalaan	Unknown		base
binalewala	binalewala	Unknown		base
binali	binali	Unknown		base
binalot	binalot	Unknown		base
binanggit	binanggit	Unknown		base
binantayan	binantayan	Unknown		base
binasa	binasa	Verb		base
binasag	binasag	Unknown		base
binasbasan	binasbasan	Unknown		base
binata	binata	Noun		base
binati	binati	Unknown		base
binato	binato	Unknown		base
binayaran	binayaran	Unknown		base
bingi	bingi	Adjective		base
bingit	bingit	Noun		base
binhi	binhi	Noun		base
binibigay	binibigay	Verb		base
binibigyan	binibigyan	Unknown		base
binigay	binigay	Verb		base
binigti	binigti	Unknown		base
binigyan	binigyan	Verb		base
binilang	binilang	Unknown		base
binili	binili	Verb		base
binisita	binisita	Verb		base
bintana	bintana	Noun		base
bintang	bintang	Noun		base
binti	binti	Noun		base
binubuksan	binubuksan	Unknown		base
binubuo	binubuo	Verb		base
binugbog	binugbog	Unknown		base
binuhusan	binuhusan	Unknown		base
binuksan	binuksan	Unknown		base
binuo	binuo	Unknown		base
binura	binura	Unknown		base
binuwag	binuwag	Unknown		base
birhen	birhen	Noun		base
bisa	bisa	Noun		base
bisig	bisig	Noun		base
bisiro	bisiro	Noun		base
bisitahin	bisitahin	Verb		base
bitag	bitag	Noun		base
bitin	bitin	Noun		base
bituin	bituin	Noun		base
bituka	bituka	Noun		base
bituwin	bituwin	Noun		base
biyaya	biyaya	Noun		base
biyenan	biyenan	Noun		base
bodega	bodega	Noun		base
boses	boses	Noun		base
boto	boto	Noun		base
bubong	bubong	Noun		base
bubugbugin	bubugbugin	Unknown		base
bubuksan	bubuksan	Unknown		base
bubungan	bubungan	Noun		base
buburahin	buburahin	Unknown		base
budhi	budhi	Noun		base
bugbugin	bugbugin	Verb		base
bugtong	bugtong	Noun		base
buhangin	buhangin	Noun		base
buhanginan	buhanginan	Noun		base
buhat	buhat	Noun		base
buhatin	buhatin	Proper noun		base
buhay	buhay	Noun		base
buhok	buhok	Noun		base
bukal	bukal	Noun		base
bukas	bukas	Adverb		base
bukid	bukid	Noun		base
bukirin	bukirin	Noun		base
bukod	bukod	Adjective		base
buksan	buksan	Verb		base
bulag	bulag	Adjective		base
bulaklak	bulaklak	Noun		base
bulok	bulok	Adjective		base
bulos	bulos	Noun		base
bulwagan	bulwagan	Noun		base
bumaba	bumaba	Verb		base
bumababa	bumababa	Unknown		base
bumabagsak	bumabagsak	Verb		base
bumabalik	bumabalik	Unknown		base
bumabasa	bumabasa	Verb		base
bumabato	bumabato	Unknown		base
bumagsak	bumagsak	Verb		base
bumaha	bumaha	Verb		base
bumalik	bumalik	Verb		base
bumato	bumato	Unknown		base
bumigay	bumigay	Verb		base
bumili	bumili	Verb		base
bumisita	bumisita	Verb		base
bumubula	bumubula	Unknown		base
bumukas	bumukas	Unknown		base
bumula	bumula	Verb		base
bumuo	bumuo	Verb		base
bundok	bundok	Noun		base
bunga	bunga	Noun		base
bungo	bungo	Noun		base
buntis	buntis	Adjective		base
buntot	buntot	Noun		base
buo	buo	Adjective		base
burol	burol	Noun		base
busal	busal	Noun		base
busog	busog	Adjective		base
butas	butas	Noun		base
butil	butil	Noun		base
buto	buto	Noun		base
buwan	buwan	Noun		base
buwis	buwis	Noun		base
buwitre	buwitre	Noun		base
cain	cain	Proper noun		base
cainan	cainan	Unknown		base
claudio	claudio	Proper noun		base
clemente	clemente	Proper noun		base
cristo	cristo	Unknown		base
daan	daan	Numeral		base
daanan	daanan	Noun		base
dadaan	dadaan	Verb		base
dadaanan	dadaanan	Unknown		base
dadalahin	dadalahin	Unknown		base
dadalhin	dadalhin	Unknown		base
dadaloy	dadaloy	Unknown		base
dadating	dadating	Unknown		base
dagat	dagat	Noun		base
dagdag	dagdag	Noun		base
dagdagan	dagdagan	Proper noun		base
dagundong	dagundong	Noun		base
dagungdong	dagungdong	Noun		base
dahil	dahil	Adposition		base
dahilan	dahilan	Noun		base
dahon	dahon	Noun		base
daigdig	daigdig	Noun		base
daing	daing	Noun		base
dakila	dakila	Adjective		base
dako	dako	Noun		base
dala	dala	Noun		base
dalaga	dalaga	Noun		base
dalamhati	dalamhati	Noun		base
dalampasigan	dalampasigan	Noun		base
dalang	dalang	Noun		base
dalangin	dalangin	Proper noun		base
dalawa	dalawa	Numeral		base
dalawin	dalawin	Verb		base
dalhan	dalhan	Unknown		base
dalhin	dalhin	Verb		base
dalin	dalin	Verb		base
daliri	daliri	Noun		base
dalisay	dalisay	Adjective		base
dalubhasa	dalubhasa	Noun		base
daluyan	daluyan	Unknown		base
damdamin	damdamin	Noun		base
dami	dami	Noun		base
damit	damit	Noun		base
damo	damo	Noun		base
damuhan	damuhan	Noun		base
dangal	dangal	Noun		base
daniel	daniel	Proper noun		base
daong	daong	Noun		base
dapat	dapat	Adverb		base
daraan	daraan	Verb		base
daraanan	daraanan	Unknown		base
darating	darating	Verb		base
dati	dati	Adjective		base
dating	dating	Noun		base
daungan	daungan	Noun		base
david	david	Proper noun		base
daw	daw	Particle		base
dawag	dawag	Noun		base
dayain	dayain	Unknown		base
dayami	dayami	Noun		base
dayuhan	dayuhan	Noun		base
debatista	debatista	Noun		base
demonyo	demonyo	Noun		base
denaryo	denaryo	Noun		base
detalyado	detalyado	Adjective		base
determinasyon	determinasyon	Noun		base
di	di	Particle		base
diablo	diablo	Unknown		base
diakono	diakono	Unknown		base
dibdib	dibdib	Noun		base
didilim	didilim	Unknown		base
digmaan	digmaan	Noun		base
dila	dila	Noun		base
dilang	dilang	Determiner		base
dilaw	dilaw	Adjective		base
dilim	dilim	Noun		base
din	din	Adverb		base
dinadala	dinadala	Verb		base
dinadalisay	dinadalisay	Unknown		base
dinadaya	dinadaya	Unknown		base
dinala	dinala	Verb		base
dinaraanan	dinaraanan	Verb		base
dinatnan	dinatnan	Unknown		base
dinaya	dinaya	Unknown		base
dinggin	dinggin	Verb		base
dinidisiplina	dinidisiplina	Unknown		base
dinilaan	dinilaan	Unknown		base
dininig	dininig	Unknown		base
dinisiplina	dinisiplina	Unknown		base
dinukot	dinukot	Unknown		base
dinumihan	dinumihan	Unknown		base
dinuraan	dinuraan	Unknown		base
dionisio	dionisio	Proper noun		base
dios	dios	Proper noun		base
dipa	dipa	Noun		base
direksyon	direksyon	Noun		base
diretso	diretso	Adjective		base
disenterya	disenterya	Noun		base
disiplina	disiplina	Noun		base
disipulo	disipulo	Noun		base
distrito	distrito	Noun		base
disyerto	disyerto	Unknown		base
dito	dito	Adverb		base
diwa	diwa	Noun		base
diyablo	diyablo	Noun		base
diyan	diyan	Adverb		base
diyos	diyos	Proper noun		base
diyosa	diyosa	Noun		base
doktrina	doktrina	Noun		base
doon	doon	Adverb		base
doong	doong	Noun		base
dose	dose	Numeral		base
dragon	dragon	Noun		base
duduraan	duduraan	Unknown		base
dugo	dugo	Noun		base
dugong	dugong	Noun		base
dukha	dukha	Adjective		base
dukutin	dukutin	Unknown		base
dulo	dulo	Noun		base
dumaan	dumaan	Verb		base
dumadaan	dumadaan	Unknown		base
dumadaloy	dumadaloy	Unknown		base
dumapa	dumapa	Verb		base
dumaraan	dumaraan	Unknown		base
dumarating	dumarating	Verb		base
dumating	dumating	Verb		base
dumi	dumi	Noun		base
dumidilim	dumidilim	Unknown		base
dumilim	dumilim	Verb		base
dumura	dumura	Verb		base
dungis	dungis	Noun		base
duraan	duraan	Noun		base
duwag	duwag	Adjective		base
eba	eba	Proper noun		base
ebanghelista	ebanghelista	Noun		base
ebanghelyo	ebanghelyo	Noun		base
edad	edad	Noun		base
ehipto	ehipto	Proper noun		base
elemento	elemento	Noun		base
elepante	elepante	Noun		base
eliseo	eliseo	Proper noun		base
emperador	emperador	Noun		base
entablado	entablado	Noun		base
epilepsiya	epilepsiya	Noun		base
epron	epron	Noun		base
eskriba	eskriba	Noun		base
esmeralda	esmeralda	Proper noun		base
espada	espada	Noun		base
espanya	espanya	Proper noun		base
espirito	espirito	Unknown		base
espiritu	espiritu	Noun		base
espiya	espiya	Noun		base
espongha	espongha	Noun		base
estranghero	estranghero	Noun		base
eto	eto	Interjection		base
eunuko	eunuko	Noun		base
faraon	faraon	Noun		base
felix	felix	Proper noun		base
gaano	gaano	Pronoun		base
gabay	gabay	Proper noun		base
gabi	gabi	Noun		base
gabriel	gabriel	Proper noun		base
gagalaw	gagalaw	Unknown		base
gagaling	gagaling	Unknown		base
gagalitin	gagalitin	Unknown		base
gagamit	gagamit	Verb		base
gagamitin	gagamitin	Unknown		base
gaganapin	gaganapin	Unknown		base
gaganti	gaganti	Unknown		base
gagawa	gagawa	Unknown		base
gagawin	gagawin	Unknown		base
galak	galak	Noun		base
galing	galing	Noun		base
galit	galit	Noun		base
galitin	galitin	Verb		base
gamit	gamit	Noun		base
gamitin	gamitin	Unknown		base
gampanan	gampanan	Unknown		base
gamutin	gamutin	Verb		base
ganap	ganap	Adjective		base
ganapin	ganapin	Unknown		base
ganito	ganito	Adverb		base
ganiyan	ganiyan	Adverb		base
ganoon	ganoon	Adverb		base
ganti	ganti	Noun		base
gantihan	gantihan	Verb		base
gantimpala	gantimpala	Noun		base
ganun	ganun	Unknown		base
ganuon	ganuon	Unknown		base
ganyan	ganyan	Adverb		base
gapos	gapos	Noun		base
gastos	gastos	Noun		base
gastusin	gastusin	Noun		base
gatas	gatas	Noun		base
gawa	gawa	Noun		base
gawain	gawain	Noun		base
gawin	gawin	Verb		base
gaya	gaya	Noun		base
gayahin	gayahin	Verb		base
gayang	gayang	Noun		base
gayon	gayon	Adverb		base
gayundin	gayundin	Adverb		base
gayunman	gayunman	Adverb		base
gayunpaman	gayunpaman	Adverb		base
gibain	gibain	Verb		base
gigibain	gigibain	Unknown		base
gigising	gigising	Unknown		base
gilid	gilid	Noun		base
ginagamit	ginagamit	Unknown		base
ginagawa	ginagawa	Unknown		base
ginamit	ginamit	Unknown		base
ginang	ginang	Noun		base
ginawa	ginawa	Verb		base
ginawan	ginawan	Unknown		base
ginhawa	ginhawa	Noun		base
giniba	giniba	Unknown		base
giniginaw	giniginaw	Unknown		base
ginising	ginising	Verb		base
ginoo	ginoo	Noun		base
ginto	ginto	Noun		base
ginugulo	ginugulo	Unknown		base
ginulo	ginulo	Unknown		base
gising	gising	Adjective		base
gitna	gitna	Noun		base
gobernador	gobernador	Noun		base
grecia	grecia	Unknown		base
griego	griego	Unknown		base
griyego	griyego	Proper noun		base
grupo	grupo	Noun		base
guguho	guguho	Unknown		base
guho	guho	Noun		base
gulang	gulang	Noun		base
gulay	gulay	Noun		base
guluhin	guluhin	Verb		base
gumabay	gumabay	Verb		base
gumagala	gumagala	Unknown		base
gumagalaw	gumagalaw	Unknown		base
gumagamit	gumagamit	Verb		base
gumagapang	gumagapang	Verb		base
gumagawa	gumagawa	Unknown		base
gumaling	gumaling	Verb		base
gumamit	gumamit	Verb		base
gumanap	gumanap	Verb		base
gumanti	gumanti	Unknown		base
gumawa	gumawa	Verb		base
gumayak	gumayak	Verb		base
gumising	gumising	Verb		base
gumuho	gumuho	Verb		base
guro	guro	Noun		base
gusali	gusali	Noun		base
gusto	gusto	Verb		base
gutom	gutom	Noun		base
guya	guya	Noun		base
haba	haba	Noun		base
habag	habag	Noun		base
habang	habang	Coordinating connective		base
hadlang	hadlang	Noun		base
hadlangan	hadlangan	Unknown		base
hagdanan	hagdanan	Noun		base
hahabulin	hahabulin	Unknown		base
hahadlang	hahadlang	Unknown		base
hahalikan	hahalikan	Unknown		base
hahamakin	hahamakin	Unknown		base
hahanapin	hahanapin	Unknown		base
hahatiin	hahatiin	Unknown		base
hahawak	hahawak	Unknown		base
hahayaan	hahayaan	Unknown		base
hain	hain	Noun		base
